code,parent,title
MKP_SURFING_CLOTHING,MKP_SURFING_LONGBOARDGING,Vêtements surf 
MKP_SURFING_SURFING_ACCESS,MKP_SURFING_LONGBOARDGING,"Leash et Accessoires surf, longboard "
MKP_URBAN_BOARDSPORTS,MKP_SPORTS_AND_RECREATION,Glisse urbaine 
MKP_SKATEBOARDING,MKP_URBAN_BOARDSPORTS,Skateboard
MKP_SKATEBOARDING_SKATEBOARD,MKP_SKATEBOARDING,Skateboards
MKP_SKATEBOARDING_WAVEBOARD,MKP_SKATEBOARDING,Waveboards
MKP_SKATEBOARDING_SHOES,MKP_SKATEBOARDING,Chaussures skateboard 
MKP_SKATEBOARDING_CLOTHING,MKP_SKATEBOARDING,Vêtements skateboard 
MKP_SKATEBOARDING_ACCESS_PARTS,MKP_SKATEBOARDING,Accessoires et pièces détachées skateboard 
MKP_SKATEBOARDING_HELMET,MKP_SKATEBOARDING,Casques skateboard 
MKP_SKATEBOARDING_PG,MKP_SKATEBOARDING,Protections skateboard 
MKP_SCOOTTERS,MKP_URBAN_BOARDSPORTS,Trottinette 
MKP_SCOOTTERS_ADULT,MKP_SCOOTTERS,Trottinette adulte 
MKP_SCOOTTERS_CHILD,MKP_SCOOTTERS,Trottinette enfant 
MKP_SCOOTTERS_FREESTYLE,MKP_SCOOTTERS,Trottinette freestyle 
MKP_SCOOTERS_ELECTRIC,MKP_SCOOTTERS,Trottinette électrique 
MKP_SCOOTTERS_HELMETS_PG,MKP_SCOOTTERS,Casques et protections 
MKP_SCOOTTERS_ACCESS_PARTS,MKP_SCOOTTERS,Accessoires et pièces détachées trottinette 
MKP_ROLLERSKATING,MKP_URBAN_BOARDSPORTS,Roller
MKP_ROLLERSKATING_ROLLERSKATE,MKP_ROLLERSKATING,Roller 
MKP_ROLLERSKATING_HELMETS_PG,MKP_ROLLERSKATING,Caques et protections pour Roller 
MKP_ROLLERSKATING_ACCESS,MKP_ROLLERSKATING,Accessoires et Pièces détachées rollers 
MKP_ROLLERSKATING_HEELYS,MKP_ROLLERSKATING,"Heelys, chaussures à roulette "
MKP_BODYBOARDING_SKIMBOARDING,MKP_WATER_SPORTS,"Bodyboard, Skimboard "
MKP_BODYBOARDING_SKIMBOARDING_BODYBOARD,MKP_BODYBOARDING_SKIMBOARDING,"Planches bodyboard, Skimboard "
MKP_BODYBOARDING_SKIMBOARDING_BODYBOARD_PALMS,MKP_BODYBOARDING_SKIMBOARDING,Palmes de bodyboard 
MKP_BODYBOARDING_SKIMBOARDING_CLOTHING,MKP_BODYBOARDING_SKIMBOARDING,Vêtements bodyboard 
MKP_BODYBOARDING_SKIMBOARDING_LEASH_ACCESS,MKP_BODYBOARDING_SKIMBOARDING,"Leash et accessoires Bodyboard, Skimboard "
MKP_OUTDOOR,MKP_SPORTS_AND_RECREATION,Outdoor 
MKP_CLIMBING,MKP_OUTDOOR,"Escalade, Alpinisme "
MKP_CLIMBING_CLOTHING,MKP_CLIMBING,"Vêtements escalade, alpinisme "
MKP_CLIMBING_SHOES,MKP_CLIMBING,"Chaussons escalade, alpinisme "
MKP_CLIMBING_HELMET,MKP_CLIMBING,"Casques Escalade, alpinisme "
MKP_CLIMBING_EQPT,MKP_CLIMBING,"Matériel escalade, alpinisme "
MKP_ICE_SPORTS,MKP_SPORTS_AND_RECREATION,Sports de glace 
MKP_HOCKEY,MKP_ICE_SPORTS,Hockey 
MKP_HOCKEY_SKATES,MKP_HOCKEY,Patins Hockey sur glace 
